mysql> select * from weightsensor_sensordaily where tagid="5a-c2-15-0b-00-01";
+-------+-------------------+---------------------+---------------+----------+---------+----------------------------+
| id    | tagid             | reading             | distancelader | dcstatus | battery | timestamp                  |
| 17017 | 5a-c2-15-0b-00-01 |  24.294999999999987 |          1000 |        0 |     100 | 2023-02-07 14:35:26.683544 |
| 17018 | 5a-c2-15-0b-00-01 |  24.644999999999982 |          1000 |        0 |     100 | 2023-02-07 14:41:29.218448 |
| 17019 | 5a-c2-15-0b-00-01 |  25.418999999999983 |          1000 |        0 |     100 | 2023-02-07 14:43:26.001139 |
| 17020 | 5a-c2-15-0b-00-01 |   25.76399999999998 |          1000 |        0 |     100 | 2023-02-07 14:44:47.488235 |
| 17021 | 5a-c2-15-0b-00-01 |   25.98399999999998 |          1000 |        0 |     100 | 2023-02-07 14:45:56.492764 |
| 17022 | 5a-c2-15-0b-00-01 |              26.732 |          1000 |        0 |     100 | 2023-02-07 14:47:22.719248 |
| 17023 | 5a-c2-15-0b-00-01 |              27.125 |          1000 |        0 |     100 | 2023-02-07 14:49:32.002617 |
| 17024 | 5a-c2-15-0b-00-01 |  27.876000000000005 |          1000 |        0 |     100 | 2023-02-07 14:58:58.108039 |
| 17025 | 5a-c2-15-0b-00-01 |              28.333 |          1000 |        0 |     100 | 2023-02-07 14:59:20.006647 |
| 17026 | 5a-c2-15-0b-00-01 |  28.855999999999995 |          1000 |        0 |     100 | 2023-02-07 15:04:07.161423 |
| 17027 | 5a-c2-15-0b-00-01 |              29.226 |          1000 |        0 |     100 | 2023-02-07 15:04:59.608607 |
| 17028 | 5a-c2-15-0b-00-01 |  29.638000000000005 |          1000 |        0 |     100 | 2023-02-07 15:05:21.442769 |
| 17029 | 5a-c2-15-0b-00-01 |  31.109999999999985 |          1000 |        0 |     100 | 2023-02-07 15:05:43.133789 |
| 17030 | 5a-c2-15-0b-00-01 |  31.627999999999986 |          1000 |        0 |     100 | 2023-02-07 15:13:44.811756 |
